NAME,Occupied housing units,"        1, detached","        1, attached",        2 apartments,        3 or 4 apartments,        5 to 9 apartments,        10 or more apartments,        Mobile home or other type of housing,        2020 or later,        2010 to 2019,        2000 to 2009,        1980 to 1999,        1960 to 1979,        1940 to 1959,        1939 or earlier,        1 room,        2 or 3 rooms,        4 or 5 rooms,        6 or 7 rooms,        8 or more rooms,        No bedroom,        1 bedroom,        2 or 3 bedrooms,        4 or more bedrooms,        With complete plumbing facilities,        With complete kitchen facilities,        No vehicle available,        1 vehicle available,        2 vehicles available,        3 or more vehicles available,        With telephone service,        Utility gas,"        Bottled, tank, or LP gas",        Electricity,"        Fuel oil, kerosene, etc.",        Coal or coke,        All other fuels,        No fuel used
"Marinette-Iron Mountain, WI-MI","45,061",0.82,0.00,0.03,0.01,0.02,0.04,0.08,0.01,0.04,0.10,0.22,0.23,0.21,0.19,0.01,0.09,0.34,0.37,0.20,0.01,0.09,0.74,0.17,1.00,0.99,0.05,0.32,0.43,0.21,0.99,0.54,0.27,0.08,0.01,0.00,0.09,0.00
"Buffalo-Cheektowaga-Olean, NY","537,439",0.63,0.03,0.14,0.05,0.05,0.08,0.02,0.01,0.04,0.06,0.13,0.23,0.25,0.29,0.01,0.08,0.32,0.35,0.24,0.01,0.09,0.69,0.22,1.00,0.99,0.11,0.39,0.36,0.13,0.99,0.82,0.04,0.10,0.02,0.00,0.02,0.01
"Grand Rapids-Kentwood-Muskegon, MI","545,102",0.70,0.06,0.03,0.03,0.03,0.09,0.07,0.01,0.10,0.13,0.25,0.21,0.15,0.15,0.01,0.08,0.29,0.31,0.31,0.01,0.08,0.64,0.27,1.00,0.99,0.05,0.31,0.43,0.22,0.99,0.77,0.08,0.10,\1%,0.00,0.03,0.00
"San Juan-Bayamón, PR","938,832",0.66,0.12,0.03,0.03,0.05,0.11,0.00,0.00,0.04,0.14,0.30,0.37,0.13,0.02,0.02,0.11,0.61,0.22,0.05,0.02,0.05,0.77,0.17,0.99,0.98,0.13,0.40,0.31,0.16,0.97,0.00,0.01,0.10,0.00,0.00,0.01,0.88
"Erie-Meadville, PA","146,191",0.71,0.04,0.06,0.04,0.02,0.07,0.06,0.00,0.03,0.08,0.19,0.25,0.23,0.22,0.02,0.08,0.27,0.37,0.26,0.02,0.09,0.66,0.23,0.99,0.99,0.10,0.37,0.38,0.15,0.99,0.70,0.09,0.11,0.03,0.00,0.05,0.01
"Burlington-South Burlington-Barre, VT","122,874",0.60,0.07,0.06,0.07,0.05,0.12,0.04,0.01,0.12,0.10,0.27,0.22,0.08,0.22,0.02,0.13,0.31,0.29,0.24,0.03,0.12,0.65,0.20,1.00,1.00,0.06,0.35,0.42,0.17,1.00,0.38,0.14,0.12,0.25,0.00,0.11,0.01
"Portland-Lewiston-South Portland, ME","288,673",0.65,0.04,0.06,0.07,0.05,0.08,0.05,0.02,0.09,0.12,0.25,0.20,0.11,0.22,0.02,0.11,0.33,0.32,0.22,0.02,0.11,0.67,0.20,1.00,0.99,0.06,0.33,0.42,0.19,0.99,0.13,0.14,0.12,0.54,0.00,0.07,0.01
"Rockford-Freeport-Rochelle, IL","174,615",0.76,0.04,0.04,0.05,0.04,0.06,0.02,0.00,0.03,0.12,0.24,0.26,0.18,0.17,0.02,0.07,0.32,0.33,0.27,0.02,0.08,0.68,0.23,1.00,1.00,0.08,0.34,0.38,0.21,0.99,0.80,0.07,0.12,0.00,0.00,0.01,0.01
"Detroit-Warren-Ann Arbor, MI","2,182,209",0.71,0.06,0.02,0.03,0.05,0.10,0.03,0.01,0.05,0.10,0.21,0.27,0.25,0.12,0.01,0.09,0.32,0.33,0.26,0.01,0.09,0.67,0.23,1.00,0.99,0.08,0.37,0.37,0.19,0.99,0.83,0.03,0.12,0.00,0.00,0.01,0.01
"Saginaw-Midland-Bay City, MI","159,264",0.77,0.04,0.02,0.02,0.04,0.08,0.05,0.01,0.05,0.08,0.19,0.32,0.22,0.15,0.00,0.05,0.33,0.37,0.25,0.01,0.07,0.71,0.21,1.00,0.99,0.06,0.35,0.39,0.20,1.00,0.72,0.10,0.14,0.01,0.00,0.03,0.00
