Open Date,metro_name,EV Level2 EVSE Num,EV DC Fast Count,totalnum
1995-08,"Los Angeles-Long Beach, CA",12.0,0.0,12.0
1996-10,"Los Angeles-Long Beach, CA",3.0,0.0,3.0
1997-08,"Los Angeles-Long Beach, CA",29.0,0.0,29.0
1998-05,"Los Angeles-Long Beach, CA",10.0,0.0,10.0
1998-06,"Los Angeles-Long Beach, CA",32.0,0.0,32.0
1998-06,"Sacramento-Roseville, CA",7.0,0.0,7.0
1998-06,"San Jose-San Francisco-Oakland, CA",5.0,0.0,5.0
1998-07,"San Jose-San Francisco-Oakland, CA",1.0,0.0,1.0
1999-10,"Los Angeles-Long Beach, CA",494.0,8.0,502.0
2002-01,"Los Angeles-Long Beach, CA",13.0,0.0,13.0
2002-01,"San Jose-San Francisco-Oakland, CA",2.0,0.0,2.0
2002-02,"Los Angeles-Long Beach, CA",1.0,0.0,1.0
2002-04,"Los Angeles-Long Beach, CA",3.0,0.0,3.0
2002-05,"Los Angeles-Long Beach, CA",24.0,0.0,24.0
2004-05,"Sacramento-Roseville, CA",8.0,0.0,8.0
2004-06,"Sacramento-Roseville, CA",5.0,0.0,5.0
2004-06,"San Jose-San Francisco-Oakland, CA",19.0,0.0,19.0
2004-07,"Sacramento-Roseville, CA",1.0,0.0,1.0
2005-07,"San Jose-San Francisco-Oakland, CA",7.0,1.0,8.0
2006-08,"San Jose-San Francisco-Oakland, CA",1.0,0.0,1.0
2007-01,"New York-Newark, NY-NJ-CT-PA",1.0,0.0,1.0
2008-01,"Sacramento-Roseville, CA",1.0,0.0,1.0
2008-02,"Seattle-Tacoma, WA",2.0,0.0,2.0
2008-07,"Albany-Schenectady, NY",7.0,0.0,7.0
2008-10,"Portland-Vancouver-Salem, OR-WA",3.0,0.0,3.0
2008-11,"Sacramento-Roseville, CA",3.0,0.0,3.0
2008-12,"Sacramento-Roseville, CA",31.0,0.0,31.0
2008-12,"San Jose-San Francisco-Oakland, CA",20.0,0.0,20.0
2009-01,"Portland-Vancouver-Salem, OR-WA",2.0,0.0,2.0
2009-03,"Boston-Worcester-Providence, MA-RI-NH-CT",2.0,0.0,2.0
2009-05,"San Jose-San Francisco-Oakland, CA",2.0,0.0,2.0
2009-06,"San Jose-San Francisco-Oakland, CA",1.0,0.0,1.0
2009-08,"Madison-Janesville-Beloit, WI",2.0,0.0,2.0
2009-08,"San Jose-San Francisco-Oakland, CA",1.0,0.0,1.0
2009-10,"Portland-Vancouver-Salem, OR-WA",1.0,0.0,1.0
